Bug ID,Project Name,Record ID,Author,Reported By,Keyword,URL,CommiteDate,ReportDate,lag,Source,Same,,,,,,,
41417,freebsd,6889af8,Dimitry Andric,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=41417,2019/5/8,2019/4/7,31,llvm,1,,freebsd,109,115,21.44,2011/9/5,0.47826087
41417,freebsd,5446f43,dim,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=41417,2019/5/8,2019/4/7,31,llvm,1,,linux,340,367,28.29,2011/9/4,0.370572207
41116,freebsd,94e9dcf,Dimitry Andric,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=41116,2019/3/23,2019/3/17,6,llvm,1,,zephyr,9,9,2.67,2016/5/26,0
41116,freebsd,91e6811,dim,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=41116,2019/3/23,2019/3/17,6,llvm,1,,aros,2,2,2.67,2019/5/17,0
40986,freebsd,e6ec44c,Dimitry Andric,Dimitry Andric,optimization,https://bugs.llvm.org/show_bug.cgi?id=40986,2019/3/12,2019/3/6,6,llvm,1,,reactos,11,13,8.77,2017/10/3,0.153846154
40986,freebsd,d64d00c,dim,Dimitry Andric,optimization,https://bugs.llvm.org/show_bug.cgi?id=40986,2019/3/12,2019/3/6,6,llvm,1,,serenity,13,14,1.15,2018/12/2,0.357142857
40206,freebsd,c232a6c,Dimitry Andric,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=40206,2019/2/10,2019/1/2,39,llvm,1,,openbsd,10,10,22.56,2016/8/30,0.1
40206,freebsd,b11436d,dim,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=40206,2019/2/10,2019/1/2,39,llvm,1,,total,494,530,87.55,,0.375471698
40206,freebsd,bc8fc00,Dimitry Andric,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=40206,2019/2/9,2019/1/2,38,llvm,1,,,,,,,
40206,freebsd,8eb3289,dim,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=40206,2019/2/9,2019/1/2,38,llvm,1,,,,,,,
40206,freebsd,94ba333,Dimitry Andric,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=40206,2019/2/9,2019/1/2,38,llvm,1,,,,,,,
40206,freebsd,3a3bb53,dim,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=40206,2019/2/9,2019/1/2,38,llvm,1,,,,,,,
37133,freebsd,6ec30ab,Dimitry Andric,Dimitry Andric,crash,https://bugs.llvm.org/show_bug.cgi?id=37133,2018/4/14,2018/4/14,0,llvm,1,,,,,,,
37133,freebsd,5a917c0,dim,Dimitry Andric,crash,https://bugs.llvm.org/show_bug.cgi?id=37133,2018/4/14,2018/4/14,0,llvm,1,,,,,,,
36116,freebsd,186720,dim,Dimitry Andric,crash,https://bugs.llvm.org/show_bug.cgi?id=36116,2018/3/17,2018/1/26,50,llvm,1,,,,,,,
36116,freebsd,077d36a,Dimitry Andric,Dimitry Andric,crash,https://bugs.llvm.org/show_bug.cgi?id=36116,2018/3/17,2018/1/26,50,llvm,1,,,,,,,
36577,freebsd,14bd370,dim,Dimitry Andric,optimization,https://bugs.llvm.org/show_bug.cgi?id=36577,2018/3/9,2018/3/2,7,llvm,1,,,,,,,
36577,freebsd,a3fedce,Dimitry Andric,Dimitry Andric,optimization,https://bugs.llvm.org/show_bug.cgi?id=36577,2018/3/9,2018/3/2,7,llvm,1,,,,,,,
35788,freebsd,144a105,dim,Dimitry Andric,optimization,https://bugs.llvm.org/show_bug.cgi?id=35788,2018/1/10,2018/1/1,9,llvm,1,,,,,,,
35788,freebsd,18a7633,Dimitry Andric,Dimitry Andric,optimization,https://bugs.llvm.org/show_bug.cgi?id=35788,2018/1/10,2018/1/1,9,llvm,1,,,,,,,
35749,freebsd,5d163b0,dim,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=35749,2017/12/29,2017/12/26,3,llvm,1,,,,,,,
35749,freebsd,2055323,Dimitry Andric,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=35749,2017/12/29,2017/12/26,3,llvm,1,,,,,,,
32142,freebsd,04dc31b,dim,Dimitry Andric,optimization,https://bugs.llvm.org/show_bug.cgi?id=32142,2017/3/6,2017/3/5,1,llvm,1,,,,,,,
32142,freebsd,d754696,Dimitry Andric,Dimitry Andric,optimization,https://bugs.llvm.org/show_bug.cgi?id=32142,2017/3/6,2017/3/5,1,llvm,1,,,,,,,
67888,freebsd,1bb3c00,rodrigc,Craig Rodrigues,rejects-valid,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=67888,2015/10/8,2015/10/8,0,gcc,1,,,,,,,
67888,freebsd,4c92141,Craig Rodrigues,Craig Rodrigues,rejects-valid,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=67888,2015/10/8,2015/10/8,0,gcc,1,,,,,,,
44511,freebsd,f32e563,rlibby,Richard Kettlewell,diagnostic,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=44511,2020/12/12,2010/6/13,3835,gcc,2,,,,,,,
44511,freebsd,6d75905,Ryan Libby,Richard Kettlewell,diagnostic,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=44511,2020/12/12,2010/6/13,3835,gcc,2,,,,,,,
47660,freebsd,9f897bf,dim,Piotr Kubaj,crash,https://bugs.llvm.org/show_bug.cgi?id=47660,2020/11/8,2020/9/27,42,llvm,2,,,,,,,
47660,freebsd,1ee2434,Dimitry Andric,Piotr Kubaj,crash,https://bugs.llvm.org/show_bug.cgi?id=47660,2020/11/8,2020/9/27,42,llvm,2,,,,,,,
43976,freebsd,dd5d004,dim,Piotr Kubaj,crash,https://bugs.llvm.org/show_bug.cgi?id=43976,2020/4/21,2019/11/12,161,llvm,2,,,,,,,
43976,freebsd,5c94a87,Dimitry Andric,Piotr Kubaj,crash,https://bugs.llvm.org/show_bug.cgi?id=43976,2020/4/21,2019/11/12,161,llvm,2,,,,,,,
40554,freebsd,6f7003b,dim,George Koehler,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=40554,2020/4/16,2019/1/31,441,llvm,2,,,,,,,
45186,freebsd,6f7003b,dim,Brandon Bergren,crash,https://bugs.llvm.org/show_bug.cgi?id=45186,2020/4/16,2020/3/12,35,llvm,2,,,,,,,
40554,freebsd,f64e2fa,Dimitry Andric,George Koehler,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=40554,2020/4/16,2019/1/31,441,llvm,2,,,,,,,
45186,freebsd,f64e2fa,Dimitry Andric,Brandon Bergren,crash,https://bugs.llvm.org/show_bug.cgi?id=45186,2020/4/16,2020/3/12,35,llvm,2,,,,,,,
41083,freebsd,72724ec,dim,Sam Parker,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=41083,2020/3/19,2019/3/15,370,llvm,2,,,,,,,
41083,freebsd,e39dad6,Dimitry Andric,Sam Parker,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=41083,2020/3/19,2019/3/15,370,llvm,2,,,,,,,
43839,freebsd,146b3c6,dim,Caroline Tice,crash,https://bugs.llvm.org/show_bug.cgi?id=43839,2020/3/7,2019/10/29,130,llvm,2,,,,,,,
43839,freebsd,fc7efa1,Dimitry Andric,Caroline Tice,crash,https://bugs.llvm.org/show_bug.cgi?id=43839,2020/3/7,2019/10/29,130,llvm,2,,,,,,,
44396,freebsd,2a168f0,Dimitry Andric,Yuri,crash,https://bugs.llvm.org/show_bug.cgi?id=44396,2020/1/2,2019/12/28,5,llvm,2,,,,,,,
44396,freebsd,4599184,dim,Yuri,crash,https://bugs.llvm.org/show_bug.cgi?id=44396,2020/1/2,2019/12/28,5,llvm,2,,,,,,,
43121,freebsd,211f2e5,Dimitry Andric,Arnd Bergmann,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=43121,2019/9/7,2019/8/27,11,llvm,2,,,,,,,
43121,freebsd,b7e6cfc,dim,Arnd Bergmann,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=43121,2019/9/7,2019/8/27,11,llvm,2,,,,,,,
31181,freebsd,d80439b,Dimitry Andric,Zhendong Su,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=31181,2019/7/2,2016/11/28,946,llvm,2,,,,,,,
31181,freebsd,ec796a0,dim,Zhendong Su,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=31181,2019/7/2,2016/11/28,946,llvm,2,,,,,,,
40712,freebsd,381ab04,Dimitry Andric,Richard Smith,diagnostic,https://bugs.llvm.org/show_bug.cgi?id=40712,2019/2/14,2019/2/12,2,llvm,2,,,,,,,
40712,freebsd,844d2d3,dim,Richard Smith,diagnostic,https://bugs.llvm.org/show_bug.cgi?id=40712,2019/2/14,2019/2/12,2,llvm,2,,,,,,,
38530,freebsd,54553da,Dimitry Andric,Martin Storsjö,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=38530,2019/2/13,2018/8/11,186,llvm,2,,,,,,,
38530,freebsd,cd43497,dim,Martin Storsjö,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=38530,2019/2/13,2018/8/11,186,llvm,2,,,,,,,
37538,freebsd,b371a9f,Ed Maste,George Rimar,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=37538,2018/10/11,2018/5/21,143,llvm,2,,,,,,,
37538,freebsd,22612b4,emaste,George Rimar,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=37538,2018/10/11,2018/5/21,143,llvm,2,,,,,,,
38798,freebsd,f545058,Dimitry Andric,Yuri,optimization,https://bugs.llvm.org/show_bug.cgi?id=38798,2018/9/16,2018/8/31,16,llvm,2,,,,,,,
38798,freebsd,2430a7e,dim,Yuri,optimization,https://bugs.llvm.org/show_bug.cgi?id=38798,2018/9/16,2018/8/31,16,llvm,2,,,,,,,
34347,freebsd,af5b964,Dimitry Andric,Wei Mi,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=34347,2018/8/18,2017/8/28,355,llvm,2,,,,,,,
34347,freebsd,ef28bd8,dim,Wei Mi,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=34347,2018/8/18,2017/8/28,355,llvm,2,,,,,,,
36432,freebsd,a0e8aab,Dimitry Andric,Anders Kaseorg,"diagnostic, rejects-valid",https://gcc.gnu.org/bugzilla/show_bug.cgi?id=36432,2018/6/11,2008/6/4,3659,gcc,2,,,,,,,
36432,freebsd,4b1911f,dim,Anders Kaseorg,"diagnostic, rejects-valid",https://gcc.gnu.org/bugzilla/show_bug.cgi?id=36432,2018/6/11,2008/6/4,3659,gcc,2,,,,,,,
83201,freebsd,6609261,Konstantin Belousov,Pat Haugen,wrong-code,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=83201,2018/6/11,2017/11/28,195,gcc,2,,,,,,,
83201,freebsd,26c8a03,kib,Pat Haugen,wrong-code,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=83201,2018/6/11,2017/11/28,195,gcc,2,,,,,,,
35724,freebsd,c85e8ae,dim,Alex Lorenz,crash,https://bugs.llvm.org/show_bug.cgi?id=35724,2018/3/17,2017/12/21,86,llvm,2,,,,,,,
35724,freebsd,bf22ec6,Dimitry Andric,Alex Lorenz,crash,https://bugs.llvm.org/show_bug.cgi?id=35724,2018/3/17,2017/12/21,86,llvm,2,,,,,,,
24239,freebsd,5a559c7,jhibbits,Daniel Villeneuve,diagnostic,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=24239,2018/2/11,2005/10/6,4511,gcc,2,,,,,,,
24239,freebsd,e4803b1,Justin Hibbits,Daniel Villeneuve,diagnostic,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=24239,2018/2/11,2005/10/6,4511,gcc,2,,,,,,,
31362,freebsd,89a9f9b,dim,Not Found,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=31362,2018/2/9,2016/12/13,423,llvm,2,,,,,,,
31362,freebsd,b1562cf,Dimitry Andric,Not Found,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=31362,2018/2/9,2016/12/13,423,llvm,2,,,,,,,
31582,freebsd,5826cfa,emaste,Not Found,diagnostic,https://bugs.llvm.org/show_bug.cgi?id=31582,2017/12/5,2017/1/9,330,llvm,2,,,,,,,
31582,freebsd,a6aca65,Ed Maste,Not Found,diagnostic,https://bugs.llvm.org/show_bug.cgi?id=31582,2017/12/5,2017/1/9,330,llvm,2,,,,,,,
35023,freebsd,14adb10,mmel,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=35023,2017/11/27,2017/10/21,37,llvm,2,,,,,,,
35023,freebsd,30347b7,Michal Meloun,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=35023,2017/11/27,2017/10/21,37,llvm,2,,,,,,,
78968,freebsd,47616ff,kib,Hannes Hauswedell,rejects-valid,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=78968,2017/1/8,2017/1/2,6,gcc,2,,,,,,,
78968,freebsd,b7c7684,Konstantin Belousov,Hannes Hauswedell,rejects-valid,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=78968,2017/1/8,2017/1/2,6,gcc,2,,,,,,,
39219,freebsd,6976026,pfg,Martin Sebor,wrong-code,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=39219,2015/10/12,2009/2/17,2428,gcc,2,,,,,,,
39219,freebsd,e277c15,Pedro F. Giffuni,Martin Sebor,wrong-code,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=39219,2015/10/12,2009/2/17,2428,gcc,2,,,,,,,
48211,freebsd,76a5c6a,dim,Neuron Teckid,crash,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=48211,2014/12/11,2011/3/20,1362,gcc,2,,,,,,,
48211,freebsd,bf1cd11,dim,Neuron Teckid,crash,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=48211,2014/12/5,2011/3/20,1356,gcc,2,,,,,,,
48211,freebsd,b42a695,Dimitry Andric,Neuron Teckid,crash,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=48211,2014/12/5,2011/3/20,1356,gcc,2,,,,,,,
33256,freebsd,b3f67be,Oleksandr Tymoshenko,Giuseppe Sacco,crash,http://gcc.gnu.org/bugzilla/show_bug.cgi?id=33256,2012/5/1,2007/8/31,1705,gcc,2,,,,,,,
33256,freebsd,e93013a,gonzo,Giuseppe Sacco,crash,http://gcc.gnu.org/bugzilla/show_bug.cgi?id=33256,2012/5/1,2007/8/31,1705,gcc,2,,,,,,,
35965,freebsd,3fcd159,fabient,Riku Voipio,wrong-code,http://gcc.gnu.org/bugzilla/show_bug.cgi?id=35965,2011/11/9,2008/4/17,1301,gcc,2,,,,,,,
35965,freebsd,da5a448,Fabien Thomas,Riku Voipio,wrong-code,http://gcc.gnu.org/bugzilla/show_bug.cgi?id=35965,2011/11/9,2008/4/17,1301,gcc,2,,,,,,,
31899,freebsd,062f7fc,bms,Not Found,crash,http://gcc.gnu.org/bugzilla/show_bug.cgi?id=31899,2009/7/22,2007/5/11,803,gcc,2,,,,,,,
31899,freebsd,f667763,Bruce M Simpson,Not Found,crash,http://gcc.gnu.org/bugzilla/show_bug.cgi?id=31899,2009/7/22,2007/5/11,803,gcc,2,,,,,,,
32500,freebsd,a099abc,ache,Ed Schouten,wrong-code,http://gcc.gnu.org/bugzilla/show_bug.cgi?id=32500,2007/6/27,2007/6/25,2,gcc,2,,,,,,,
32500,freebsd,3f5b2c2,Andrey A. Chernov,Ed Schouten,wrong-code,http://gcc.gnu.org/bugzilla/show_bug.cgi?id=32500,2007/6/27,2007/6/25,2,gcc,2,,,,,,,
99714,linux,aef25be,Nathan Chancellor,Nathan Chancellor,crash,https://github.com/llvm/llvm-project/issues/99714,2024/12/18,2024/7/20,151,llvm issues,1,,,,,,,
117912,linux,d938150,Yafang shao,Yafang Shao,wrong-code,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=117912,2024/12/5,2024/12/4,1,gcc,1,,,,,,,
116912,linux,5b188cc,Sean Christopherson,Sean Christopherson,wrong-code,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=116912,2024/11/5,2024/9/30,36,gcc,1,,,,,,,
85647,linux,9bf4e91,Nathan Chancellor,Nathan Chancellor,rejects-valid,https://github.com/llvm/llvm-project/issues/85647,2024/4/25,2024/3/18,38,llvm issues,1,,,,,,,
111736,linux,b6540de,Uros Bizjak,Uroš Bizjak,wrong-code,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=111736,2024/3/25,2023/10/9,168,gcc,1,,,,,,,
113214,linux,90773aa,Arnd Bergmann,Arnd Bergmann,diagnostic,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=113214,2024/2/8,2024/1/3,36,gcc,1,,,,,,,
113214,linux,774ef5d,Arnd Bergmann,Arnd Bergmann,diagnostic,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=113214,2024/2/3,2024/1/3,31,gcc,1,,,,,,,
50505,linux,021d234,Wende Tan,Wende Tan,diagnostic,https://github.com/llvm/llvm-project/issues/50505,2024/1/23,2021/7/22,915,llvm issues,1,,,,,,,
111736,linux,e29aad0,Uros Bizjak,Uroš Bizjak,wrong-code,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=111736,2023/10/11,2023/10/9,2,gcc,1,,,,,,,
64080,linux,ae7936d,Nick Desaulniers,Nick Desaulniers,rejects-valid,https://github.com/llvm/llvm-project/issues/64080,2023/8/16,2023/7/25,22,llvm issues,1,,,,,,,
110899,linux,7a0fd5e,Marco Elver,Marco Elver,optimization,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=110899,2023/8/16,2023/8/4,12,gcc,1,,,,,,,
110743,linux,71c8f9c,Arnd Bergmann,Arnd Bergmann,diagnostic,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=110743,2023/7/27,2023/7/19,8,gcc,1,,,,,,,
108896,linux,dd06e72,Kees Cook,Kees Cook,rejects-valid,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=108896,2023/5/31,2023/2/22,98,gcc,1,,,,,,,
108370,linux,09e8c25,David Howells,dhowells@redhat.com,optimization,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=108370,2023/5/24,2023/1/11,133,gcc,1,,,,,,,
108371,linux,09e8c25,David Howells,dhowells@redhat.com,optimization,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=108371,2023/5/24,2023/1/11,133,gcc,1,,,,,,,
94722,linux,514ca14,ndesaulniers@google.com,Nick Desaulniers,diagnostic,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=94722,2023/5/16,2020/4/22,1119,gcc,1,,,,,,,
61045,linux,1a2c73f,Jiaxun Yang,Jiaxun Yang,wrong-code,https://github.com/llvm/llvm-project/issues/61045,2023/3/1,2023/2/28,1,llvm issues,1,,,,,,,
108483,linux,2508708,Michael Karcher,Michael Karcher,diagnostic,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=108483,2023/2/27,2023/1/20,38,gcc,1,,,,,,,
101832,linux,1a30a6b,Kees Cook,Kees Cook,rejects-valid,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=101832,2023/2/16,2021/8/9,556,gcc,1,,,,,,,
60349,linux,78f7a3f,Eric Biggers,Eric Biggers,wrong-code,https://github.com/llvm/llvm-project/issues/60349,2023/2/9,2023/1/28,12,llvm issues,1,,,,,,,
108634,linux,5a6b64a,Sam James,Sam James,rejects-valid,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=108634,2023/2/3,2023/2/1,2,gcc,1,,,,,,,
48894,linux,a2faac3,Nick Desaulniers,Nick Desaulniers,rejects-valid,https://bugs.llvm.org/show_bug.cgi?id=48894,2022/11/9,2021/1/26,652,llvm,1,,,,,,,
105679,linux,26117d9,Kees Cook,Kees Cook,diagnostic,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=105679,2022/10/20,2022/5/21,152,gcc,1,,,,,,,
105679,linux,2577a58,Kees Cook,Kees Cook,diagnostic,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=105679,2022/10/12,2022/5/21,144,gcc,1,,,,,,,
105679,linux,d174768,Kees Cook,Kees Cook,diagnostic,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=105679,2022/10/11,2022/5/21,143,gcc,1,,,,,,,
105679,linux,aabf615,Kees Cook,Kees Cook,diagnostic,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=105679,2022/10/7,2022/5/21,139,gcc,1,,,,,,,
105679,linux,4af609b,Kees Cook,Kees Cook,diagnostic,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=105679,2022/10/7,2022/5/21,139,gcc,1,,,,,,,
101832,linux,54d9469,Kees Cook,Kees Cook,wrong-code,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=101832,2022/9/8,2021/8/9,395,gcc,1,,,,,,,
57102,linux,b0839b2,Nick Desaulniers,Nick Desaulniers,diagnostic,https://github.com/llvm/llvm-project/issues/57102,2022/9/5,2022/8/12,24,llvm issues,1,,,,,,,
105930,linux,1d3551c,Linus Torvalds,Linus Torvalds,optimization,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=105930,2022/8/11,2022/6/11,61,gcc,1,,,,,,,
56289,linux,e5d523f,Nick Desaulniers,Nick Desaulniers,wrong-code,https://github.com/llvm/llvm-project/issues/56289,2022/7/15,2022/6/30,15,llvm issues,1,,,,,,,
